cell_suspension.biomaterial_core.biomaterial_id,inferred_cell_type,cell_suspension.provenance.document_id
D26Dp4D09,nMGE.24.LHX8,8216ec49-3125-4f6b-893b-c0bae23bcb60
D26Dp4E07,nMGE.24.LHX8,7214b994-ab6b-485d-aa65-4b54881cbdea
D26Dp4E09,nMGE.24.LHX8,b686b71d-4b16-46cc-8a69-ee1911ee7557
D26Dp4E11,nMGE.24.LHX8,5015931c-821e-47f6-8946-c533bd5c1a41
D26Dp4F04,nMGE.24.LHX8,a501d4c2-7973-45d2-9f18-aadc8f98cc9a
D26Dp4F08,nMGE.24.LHX8,fd997836-8d5c-4843-8625-d6e30d115663
D26Dp4G03,nMGE.24.LHX8,6cea97fe-8faf-4968-87b4-9f8fe35ae8b9
D26Dp4G11,nMGE.24.LHX8,b39c1a2d-1c32-4d61-9371-385da33be79b
D26Dp4H01,nMGE.24.LHX8,d04c5296-5977-436f-b899-5b7251f571b0
D26Dp4H02,nMGE.24.LHX8,2bc2db99-9b1c-4f78-9104-914ba255858e
D26Dp4H04,nMGE.24.LHX8,b2c36fa9-cb93-4135-9fd4-ee7218ebc359
D26Dp14A01,nMGE.24.LHX8,c1e8c769-56fe-4e3d-ad1f-9e3f25bd1506
D26Dp14A02,nMGE.24.LHX8,4ccc1b88-8fd6-425b-8aae-f6549777c63e
D26Dp14A03,nMGE.24.LHX8,f4d8fb7f-c2ea-48a0-b63c-3402653746be
D26Dp14A04,nMGE.24.LHX8,2d7a198d-e662-4ace-8286-8fcd66864ac1
D26Dp14A11,nMGE.24.LHX8,654725e1-a122-44f9-bed0-1c622af886bb
D26Dp14B01,nMGE.24.LHX8,11f84196-1240-4b33-a902-f49caf2dff11
D26Dp14B02,nMGE.24.LHX8,f1153904-9f47-40b8-8415-1e4e678a76b2
D26Dp14B03,nMGE.24.LHX8,c7f9370d-89f1-48fc-aefb-8f34ce70ef89
D26Dp14B04,nMGE.24.LHX8,91d854ff-6de2-4ad1-bca7-ba37f1f277fb
D26Dp14B05,nMGE.24.LHX8,d78f9da9-de32-4857-a672-af7abd49e257
D26Dp14B06,nMGE.24.LHX8,532c1f29-a287-430b-b2a9-bbf3bea71745
D26Dp14B08,nMGE.24.LHX8,9b3fe1c8-d0e7-4250-a0af-feeb85271e6c
D26Dp14B10,nMGE.24.LHX8,94e1060a-8696-4331-9e11-44688685db83
D26Dp14B11,nMGE.24.LHX8,3f21df60-55dc-4497-a23e-e9ad389865d8
D26Dp14C01,nMGE.24.LHX8,0d1a5929-a445-45ae-a986-7fc50308ba24
D26Dp14C02,nMGE.24.LHX8,2fa38627-233b-4fe3-b19a-91a5e4becc5d
D26Dp14C03,nMGE.24.LHX8,01b72ee4-0b79-4e2a-a43e-11250907d6bc
D26Dp14C05,nMGE.24.LHX8,8e74c6c0-c035-4b86-9e53-0da470b2301b
D26Dp14C06,nMGE.24.LHX8,f77ba4ad-57d9-4d41-b604-5cadee9dcfd2
D26Dp14C07,nMGE.24.LHX8,0abb4917-1116-4fe5-b911-61b437863f08
D26Dp14C08,nMGE.24.LHX8,32205191-b67c-4a0a-a48e-98ae0abc71ac
D26Dp14C09,nMGE.24.LHX8,7cc57120-99ee-45c9-bc62-5f638ebce3c2
D26Dp14D02,nMGE.24.LHX8,a04bd6da-16bd-4fab-b1af-021389d6efd0
D26Dp14D03,nMGE.24.LHX8,ed16ac98-d231-4ad3-97c1-f9d2418dab26
D26Dp14D04,nMGE.24.LHX8,67960535-8199-4f16-82c0-a54de3cacc0f
D26Dp14D05,nMGE.24.LHX8,14667f12-f6fe-4872-aba8-5b1f62f2b022
D26Dp14D06,nMGE.24.LHX8,da5959ab-df6e-493b-aec4-5d2a15b2e1ab
D26Dp14D07,nMGE.24.LHX8,7d44600b-1cf1-4025-89ec-91e10afcca54
D26Dp14D08,nMGE.24.LHX8,5be95733-31c3-4c23-b60c-4433d4da0eaa
D26Dp14E02,nMGE.24.LHX8,0a41d16e-f357-42dc-97ac-46194689c1a9
D26Dp14E03,nMGE.24.LHX8,27a5f302-fdc8-49d6-8280-18de558cad5f
D26Dp14E04,nMGE.24.LHX8,1fbe0a62-640d-4417-80a5-bcd43b4baa48
D26Dp14E06,nMGE.24.LHX8,656ffaae-ab15-43c2-83f8-70eb194100c0
