cell_suspension.biomaterial_core.biomaterial_id,inferred_cell_type,organism_part,cell_suspension.provenance.document_id
24087_5_291,T cell,decidua,36d8d1fa-d33a-44d2-84e4-9421d923061c
24088_4_366,maternal endothelial cell (Endo m),decidua,8c80b8cf-4fbe-4671-b83c-cc4338a2ca49
23728_5_45,T cell,decidua,ab0a95be-0015-4dcd-bd5d-b0a67d05533d
23728_7_336,NA,decidua,ef794f8d-3f5a-4637-8abe-197716b0b0b6
23728_4_100,decidual macrophage (dM1),decidua,73547d75-3df2-4d2f-b03e-6c875cac0e2d
24087_4_105,decidual macrophage (dM1),decidua,b9959c1e-8114-4bba-a3f9-ef0d47a7f251
23728_6_271,decidual natural killer cell (dNK1),decidua,0c5d7b45-fde8-44dc-858d-38b49627a1ae
23728_5_197,NA,decidua,5565d01a-d4be-4249-b13b-88be99fb7f98
23728_5_296,decidual natural killer cell (dNK3),decidua,c6d53f49-a9cd-494b-b854-d4ba93fb0f87
24087_2_346,NA,decidua,5a64f12b-4db6-4342-8f8b-067117e2e837
23728_8_130,Hofbauer cell (HB),decidua,4e471f23-7c42-4afc-91d4-271d4fea7052
24087_5_251,NA,decidua,072b0c05-b409-4501-8efb-88616c94d441
24087_5_30,decidual macrophage (dM2),decidua,70b14ce0-d25a-491b-b017-9a3cc5c1b031
24087_2_319,innate lymphoid cell (ILC3),decidua,7068fa42-5e03-461d-9eec-a01d934b9776
24088_8_4,decidual macrophage (dM2),decidua,be6487d0-d501-4be1-be5f-099621ac2df1
23728_6_326,NA,decidua,5f23ae9f-86e0-4565-b390-70c2890436a3
24088_8_91,T cell,decidua,63c77e5c-116b-451e-ae77-b654f702d0aa
24087_4_258,NA,decidua,86ce4bf0-28a6-448f-a362-585170eccdab
23728_3_275,NA,decidua,9ce31cd2-c8b7-4d97-b4d6-24703f9c4f0e
24087_2_205,decidual perivascular cell (dP1),decidua,e234aff5-b9a1-47e1-939b-07fb175d83dc
24087_6_112,T cell,decidua,ab7e65ce-d36e-4079-8419-c4518e276244
24087_3_142,T cell,decidua,51981b78-847e-4fbd-b808-7c2e55b24758
23728_8_150,decidual macrophage (dM2),decidua,afec16ba-01d5-428c-b49e-a3cc19c97525
24088_7_233,NA,decidua,ceacb7de-26ae-4219-bf62-bc5a3fe289a5
24087_7_74,decidual macrophage (dM2),decidua,07106a69-36f2-4677-8115-e8cb0de53d82
24087_7_45,decidual natural killer cell (dNK3),decidua,4b5e9d07-b43d-4ee4-a5d0-ba03e1884d3b
24087_8_358,innate lymphoid cell (ILC3),decidua,75ce11a7-bbb0-465a-8661-987e3f0b6b71
24087_8_187,NA,decidua,916de86a-c34d-4ae4-bb6a-062bdf7c2a55
24087_2_283,maternal endothelial cell (Endo m),decidua,44dd7378-d2c2-4024-a762-27a533be1877
23728_6_51,decidual macrophage (dM1),decidua,743f7c81-2d31-4a5e-b9a4-841a6de26667
24087_7_181,NA,decidua,2de5c237-060d-45b0-ba34-0620be2c0516
24088_4_195,decidual stromal cell (dS1),decidua,f957a25b-3d1a-4e4e-8b44-0acabc54b939
24087_1_308,decidual perivascular cell (dP1),decidua,4ce74733-46a2-4586-8cfb-83776e062da9
24088_4_304,decidual stromal cell (dS3),decidua,0f3fc1a5-0f32-4a37-9392-bf56ea0d3aaf
24087_6_269,decidual natural killer cell (dNK2),decidua,4fa4fe54-9a6f-46a5-a916-fef5b64194b9
24087_3_143,decidual macrophage (dM1),decidua,6216d8ac-271a-4092-8768-5e0d9075f999
24088_8_113,T cell,decidua,1920f937-9572-42ea-ae7a-19092a169148
24088_8_321,NA,decidua,694039bb-9d11-4c88-b6d9-f8596a8ea4c5
23728_4_267,decidual natural killer cell (dNK2),decidua,a009f53c-a019-472c-a74d-6aa9aec45e7b
23728_7_233,NA,decidua,4849b833-a9a3-4c7f-99ef-a99c2c0003bb
23728_5_169,conventional dendritic cell (DC1),decidua,2142dd31-4d92-43b5-996c-01a56eff4176
24087_1_71,decidual macrophage (dM1),decidua,d80d219b-35f4-49ad-9ca7-ccc919a29ac9
23728_4_107,NA,decidua,c541ffdf-5112-402f-996a-c0dcc215d24e
24087_6_266,NA,decidua,845fe9d6-8fb1-4db8-b947-605e8ea5fedc
23728_6_114,villous cytotrophoblast (VCT),decidua,38884db9-90fb-4793-85b0-55332842145b
24087_8_29,NA,decidua,96fb3668-4679-499c-b8ee-36b92558ca4a
23728_4_153,decidual macrophage (dM2),decidua,2673b171-67e0-43f3-a9aa-65029e26c4a2
24087_1_223,NA,decidua,4ed34e1b-43cc-48c0-9f26-c68a48e553d8
24087_5_301,NA,decidua,ce703eb7-b03b-41fe-afaf-e3f3dfeb8a05
23728_7_241,decidual natural killer cell (dNK1),decidua,1f30b4ab-8c85-49fd-bfdf-6782b50ea604
23728_5_89,T cell,decidua,e48fa780-5cd8-4f83-9df7-74439874806e
23728_4_178,NA,decidua,99605576-0fa1-475d-a540-9ff9d123e680
24087_2_289,decidual natural killer cell (dNK3),decidua,d8fd9730-294f-4af5-a953-498b37f6a7c4
24088_8_289,decidual natural killer cell (dNK3),decidua,98e15933-003f-4d93-aa5a-05b8274cb503
24088_8_49,decidual macrophage (dM2),decidua,771707d5-42f1-4782-9e71-ca06ac99bcb6
23728_5_44,T cell,decidua,3716a827-2652-4288-a37d-0070b498353d
24088_7_102,decidual macrophage (dM2),decidua,f236bbdc-d4b3-4830-9450-1455a6813190
23728_5_109,NA,decidua,0999ee51-4be2-4545-a937-25830e623253
24087_7_343,Hofbauer cell (HB),decidua,7efaccaf-2201-4b0a-83a5-01f7704b94c9
23728_5_154,decidual macrophage (dM2),decidua,649cf332-97f8-4b9d-a3cf-818a18559845
23728_3_319,decidual natural killer cell (dNK2),decidua,28f72f9c-2e94-4f94-b2a3-a0f0a33a84a0
24087_5_263,decidual natural killer cell (dNK2),decidua,c433821e-97c1-49c5-b0e3-ecd47ee6e608
23728_8_21,T cell,decidua,4bee082c-2555-4565-9dd3-e7e32b53e86f
23728_7_376,NA,decidua,92a7423a-82dd-4a30-91b4-3bcf8a5f6153
24087_3_115,T cell,decidua,cb68c89e-fef5-42b4-b737-e6bcf96ab5a3
24087_2_218,decidual natural killer cell (dNK1),decidua,df906f6a-8789-45c7-a632-dcaf9ab65232
